ID,Category,Conditions,Bodies,Makes,Models,Mileage,Fuel_Types,Engine,Years,Fuel_Consumption,Transmission,Drives,Fuel_Economy,Exterior_Colors,Interior_Color,CIF_USD,Price_USD,Price_GHS,Seats,Dimensions_mm,Trim_Edition,Range_km,Power,Source,specs_json,_sourceFile,_sourceType
IZZY-AVATR-12-ULTRA-AWD-PURE-ELECTRIC-2026,EV,Brand new,Sedan,AVATR,12 Ultra AWD Pure Electric,,Pure electric,,2026,,Automatic,AWD,,,,45900,46900,726950,5,,,705,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-AVATR-12-MAX-PURE-ELECTRIC-2026,EV,Brand new,Sedan,AVATR,12 Max Pure Electric,,Pure electric,,2026,,Automatic,RWD,,,,42200,43200,669600,5,,,755,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-AVATR-12-MASTER-PURE-ELECTRIC-AWD-2026,EV,Brand new,Sedan,AVATR,12 Master Pure Electric AWD,,Pure electric,,2026,,Automatic,AWD,,,,52200,53200,824600,5,,,705,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-AVATR-12-ROYAL-THEATRE-2026,EV,Brand new,Sedan,AVATR,12 Royal Theatre,,Pure electric,,2026,,Automatic,AWD,,,,59600,60600,939300,5,,,705,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-DONGFENG-NANO-01-330-DRIVER-TRAINING-2025,EV,Used,Hatchback (Compact EV),Dongfeng,Nano 01 330 Driver Training,"1,000 km",Electric,,2025,,Automatic,FWD,,,,12730,13730,212815,4,,,,,WhatsApp Chat,{},Group_Hatchbacks.csv,main-features-csv
IZZY-DONGFENG-NANO-06-401-PRO-2025,EV,Used,Hatchback (Compact EV),Dongfeng,Nano 06 401 Pro,"6,000 km",Electric,,2025,,Automatic,FWD,,,,15600,16600,257300,4,,,,,WhatsApp Chat,{},Group_Hatchbacks.csv,main-features-csv
IZZY-DONGFENG-NANO-01-430-PLUS-SMART--2024,EV,Used,Hatchback (Compact EV),Dongfeng,Nano 01 430 Plus Smart+,"36,000 km",Electric,,2024,,Automatic,FWD,,,,13700,14700,227850,4,,,,,WhatsApp Chat,{},Group_Hatchbacks.csv,main-features-csv
IZZY-ICAR-V23-401-2WD-ADVANCED-2025,EV,Used,SUV,iCAR,V23 401 2WD Advanced,"15,000 km",Pure electric,,2025,,Automatic,2WD,,,,17500,18500,286750,5,,,401,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-LEAPMOTOR-T03-2026,EV,Brand new,Hatchback (Compact EV),Leapmotor,T03,,Pure electric,Electric 95hp (70kW),2026,,Single-speed,FWD,,,,11700,12700,196850,4,,,265,95 hp,WhatsApp Chat,{},Group_Hatchbacks.csv,main-features-csv
IZZY-LEAPMOTOR-T03-2025,EV,Used,Hatchback (Compact EV),Leapmotor,T03,"100-60,000 km",Electric,,2025,,Single-speed,FWD,,White,,9922,10922,169291,4,,,,,WhatsApp Chat,{},Group_Hatchbacks.csv,main-features-csv
